Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-0.02071802618302238,-63.96423539903818,177.2276704494633
104.7128548050901,-0.02181961290406779,-62.83521277929401,178.8640309539419
109.6478196143186,-0.02176641323289045,-62.02148962800997,176.7080441912989
114.8153621496884,-0.02194589249599148,-61.39360631566434,176.9304147648728
120.2264434617413,-0.02100549735913388,-60.79940774328811,177.6150795808809
125.8925411794169,-0.02155582577256905,-59.85618220441444,177.2808099975964
131.8256738556409,-0.02072230431284315,-59.22573027873592,176.3607022210078
138.0384264602885,-0.02083107631508486,-58.1838738272272,176.3222381470916
144.543977074593,-0.0218196051959027,-57.45189519086318,176.301405974299
151.356124843621,-0.02147062003185332,-56.76172229193003,176.993933369469
158.4893192461114,-0.02118781942889848,-55.9359465929812,175.7506703758398
165.9586907437563,-0.02171511672464264,-55.15177222260962,175.7427103550132
173.7800828749376,-0.0206161834488626,-54.3633536221768,175.7446607363017
181.9700858609985,-0.02060373648982276,-53.66280734147025,175.7948759210066
190.546071796325,-0.02101835135441155,-52.7900359530495,176.1307484381028
199.5262314968881,-0.02126092052160697,-52.0337116063055,175.646975345527
208.9296130854041,-0.02083744669319786,-51.24770459406669,175.277233401846
218.7761623949555,-0.02103864014951357,-50.41618275325494,175.4049540751685
229.0867652767775,-0.02129451619101117,-49.68768499828549,175.049611060091
239.8832919019493,-0.02101135236868878,-48.83885202167261,174.8422002385046
251.1886431509582,-0.02121774754642728,-48.07750336694149,174.7002679419072
263.0267991895385,-0.02100059195496502,-47.2295005821113,174.7131349538812
275.4228703338169,-0.02105683918240234,-46.45270031363354,174.4568804449162
288.4031503126609,-0.02154601173429194,-45.65681701360286,174.1139768506614
301.995172040202,-0.02105600328511296,-44.85137995201899,173.8030261541116
316.2277660168383,-0.02128203185561393,-43.99385624663272,173.9168238871386
331.1311214825915,-0.02144208046418684,-43.23386527700017,173.2985305792883
346.7368504525317,-0.02117921009041515,-42.44806207479093,173.1734546965156
363.0780547701018,-0.02157530879090131,-41.66973478663665,172.9175655148685
380.1893963205617,-0.02135243128531896,-40.87134978264065,172.5693706940766
398.1071705534974,-0.02126135077677003,-40.07092635083951,172.2727016714331
416.869383470336,-0.02191201575752987,-39.28693662535303,171.9388398843839
436.5158322401666,-0.0213501767921112,-38.49515459054081,171.5114762921532
457.0881896148753,-0.02130125743890151,-37.69009251362762,171.2897815512412
478.630092322639,-0.02228746909041144,-36.90782234798915,170.8052082366065
501.187233627273,-0.0214798490569181,-36.10905232988281,170.5541179573971
524.8074602497729,-0.0214719206321105,-35.33386834203492,170.1636682767076
549.5408738576255,-0.02176377565471763,-34.52111404898415,169.7797392972291
575.4399373371579,-0.02191071095328601,-33.73239692151373,169.3578424170641
602.5595860743581,-0.02180670077707249,-32.94527977824626,168.8537230769857
630.9573444801937,-0.02119172679112047,-32.15248068401878,168.4396555589433
660.6934480075965,-0.02158718039508956,-31.36948066489022,167.9494703367716
691.8309709189371,-0.02162433408914673,-30.56808787086048,167.392357434772
724.4359600749907,-0.02181427583727525,-29.77377312550148,166.8964538445853
758.5775750291845,-0.02221243062648948,-28.97598483483002,166.2739313250536
794.3282347242822,-0.02235859012079205,-28.19169498207637,165.6613471249157
831.7637711026719,-0.02193360189189975,-27.38992844164724,165.0297157693458
870.9635899560816,-0.02101663845300753,-26.6105653441082,164.4231330715871
912.0108393559107,-0.02141691114294143,-25.81118161599325,163.7726387758174
954.9925860214371,-0.02261179014548874,-25.01470054280403,162.989850241522
1000,-0.02270971156303859,-24.22012630566275,162.2802480798665
1047.128548050901,-0.02280496830941293,-23.42141644357559,161.4482290903214
1096.478196143186,-0.02202564531798592,-22.63186635678492,160.6411062134119
1148.153621496883,-0.02199407926224473,-21.83590784965256,159.7702607874801
1202.264434617414,-0.02259753321938847,-21.04399915832095,158.8438871973555
1258.925411794168,-0.02217490576411882,-20.25643225664611,157.8575702217791
1318.256738556408,-0.02383054718315208,-19.46441588069903,156.840290061322
1380.384264602886,-0.02297300650566328,-18.67621852323349,155.775804700572
1445.439770745929,-0.02324743210318453,-17.89329039257216,154.6506996498417
1513.561248436209,-0.02356179999166358,-17.10199454060838,153.4784228863122
1584.893192461115,-0.02299396016057965,-16.31637899169347,152.2302459761185
