% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 2.000 Vpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 141.2538 kHz to 141.2538 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-03-20 T 15:41:28 +1100
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg)
1.41253754e+05, -1.9061e+01, -1.3147e+02
1.39357119e+05, -1.8959e+01, -1.3093e+02
1.37485949e+05, -1.8827e+01, -1.3035e+02
1.35639904e+05, -1.8706e+01, -1.2981e+02
1.33818647e+05, -1.8586e+01, -1.2925e+02
1.32021843e+05, -1.8460e+01, -1.2875e+02
1.30249166e+05, -1.8336e+01, -1.2815e+02
1.28500290e+05, -1.8206e+01, -1.2764e+02
1.26774897e+05, -1.8078e+01, -1.2706e+02
1.25072671e+05, -1.7954e+01, -1.2645e+02
1.23393301e+05, -1.7822e+01, -1.2588e+02
1.21736480e+05, -1.7697e+01, -1.2534e+02
1.20101906e+05, -1.7571e+01, -1.2473e+02
1.18489279e+05, -1.7453e+01, -1.2417e+02
1.16898306e+05, -1.7329e+01, -1.2362e+02
1.15328694e+05, -1.7201e+01, -1.2304e+02
1.13780158e+05, -1.7090e+01, -1.2251e+02
1.12252414e+05, -1.6971e+01, -1.2199e+02
1.10745184e+05, -1.6846e+01, -1.2146e+02
1.09258192e+05, -1.6724e+01, -1.2090e+02
1.07791165e+05, -1.6599e+01, -1.2039e+02
1.06343837e+05, -1.6470e+01, -1.1990e+02
1.04915942e+05, -1.6363e+01, -1.1941e+02
1.03507219e+05, -1.6248e+01, -1.1890e+02
1.02117412e+05, -1.6132e+01, -1.1843e+02
1.00746266e+05, -1.6016e+01, -1.1800e+02
9.93935302e+04, -1.5895e+01, -1.1745e+02
9.80589580e+04, -1.5775e+01, -1.1701e+02
9.67423054e+04, -1.5660e+01, -1.1657e+02
9.54433316e+04, -1.5545e+01, -1.1610e+02
9.41617994e+04, -1.5429e+01, -1.1566e+02
9.28974745e+04, -1.5306e+01, -1.1519e+02
9.16501258e+04, -1.5186e+01, -1.1477e+02
