% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 17.72 ms, time offset 117.5 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 16:59:00 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-8.980496000000e-03, 3.102101e-01, 0.000000e+00, -1.935283e+01
-8.963120000000e-03, 4.872985e-01, 1.737600e-05, -2.075482e+01
-8.945744000000e-03, 6.485100e-01, 3.475200e-05, -2.528212e+01
-8.928368000000e-03, 7.596483e-01, 5.212800e-05, -3.452432e+01
-8.910992000000e-03, 8.524671e-01, 6.950400e-05, -5.378224e+01
-8.893616000000e-03, 8.597949e-01, 8.688000e-05, -4.802757e+01
-8.876240000000e-03, 8.817783e-01, 1.042560e-04, -5.529332e+01
-8.858864000000e-03, 8.317050e-01, 1.216320e-04, -5.779036e+01
-8.841488000000e-03, 8.085003e-01, 1.390080e-04, -5.796969e+01
-8.824112000000e-03, 6.814851e-01, 1.563840e-04, -5.600058e+01
-8.806736000000e-03, 5.324866e-01, 1.737600e-04, -5.354028e+01
-8.789360000000e-03, 3.651686e-01, 1.911360e-04, -5.495572e+01
-8.771984000000e-03, 1.746458e-01, 2.085120e-04, -6.065528e+01
-8.754608000000e-03, -1.587689e-02, 2.258880e-04, -5.722043e+01
-8.737232000000e-03, -2.259404e-01, 2.432640e-04, -5.124727e+01
-8.719856000000e-03, -3.773816e-01, 2.606400e-04, -4.744364e+01
-8.702480000000e-03, -5.654617e-01, 2.780160e-04, -4.583860e+01
-8.685104000000e-03, -6.778212e-01, 2.953920e-04, -4.653443e+01
-8.667728000000e-03, -7.584270e-01, 3.127680e-04, -4.989128e+01
-8.650352000000e-03, -8.219346e-01, 3.301440e-04, -5.447499e+01
-8.632976000000e-03, -8.549097e-01, 3.475200e-04, -5.240534e+01
-8.615600000000e-03, -8.329263e-01, 3.648960e-04, -5.051181e+01
-8.598224000000e-03, -7.657548e-01, 3.822720e-04, -5.122305e+01
-8.580848000000e-03, -7.107963e-01, 3.996480e-04, -5.475608e+01
-8.563472000000e-03, -5.532487e-01, 4.170240e-04, -6.323856e+01
-8.546096000000e-03, -4.018075e-01, 4.344000e-04, -7.382903e+01
-8.528720000000e-03, -2.100635e-01, 4.517760e-04, -6.278141e+01
-8.511344000000e-03, -2.931119e-02, 4.691520e-04, -6.065584e+01
-8.493968000000e-03, 1.819736e-01, 4.865280e-04, -6.180695e+01
-8.476592000000e-03, 3.663899e-01, 5.039040e-04, -6.347730e+01
-8.459216000000e-03, 5.239375e-01, 5.212800e-04, -5.759702e+01
-8.441840000000e-03, 7.022472e-01, 5.386560e-04, -4.913382e+01
-8.424464000000e-03, 7.840743e-01, 5.560320e-04, -4.450323e+01
-8.407088000000e-03, 8.439180e-01, 5.734080e-04, -4.330674e+01
-8.389712000000e-03, 8.573523e-01, 5.907840e-04, -4.507076e+01
-8.372336000000e-03, 9.013190e-01, 6.081600e-04, -4.967414e+01
-8.354960000000e-03, 8.500245e-01, 6.255360e-04, -5.801854e+01
-8.337584000000e-03, 7.816317e-01, 6.429120e-04, -6.367452e+01
-8.320208000000e-03, 6.704934e-01, 6.602880e-04, -5.927449e+01
-8.302832000000e-03, 4.958476e-01, 6.776640e-04, -6.071587e+01
-8.285456000000e-03, 3.273083e-01, 6.950400e-04, -6.451555e+01
-8.268080000000e-03, 1.257939e-01, 7.124160e-04, -6.418736e+01
-8.250704000000e-03, -5.495848e-02, 7.297920e-04, -6.214636e+01
-8.233328000000e-03, -2.747924e-01, 7.471680e-04, -6.613983e+01
-8.215952000000e-03, -4.250122e-01, 7.645440e-04, -7.377765e+01
-8.198576000000e-03, -5.715682e-01, 7.819200e-04, -7.369686e+01
-8.181200000000e-03, -7.010259e-01, 7.992960e-04, -6.324325e+01
-8.163824000000e-03, -7.938447e-01, 8.166720e-04, -6.872458e+01
-8.146448000000e-03, -8.500245e-01, 8.340480e-04, -6.570597e+01
-8.129072000000e-03, -8.304837e-01, 8.514240e-04, -6.837444e+01
-8.111696000000e-03, -8.365902e-01, 8.688000e-04, -6.087789e+01
-8.094320000000e-03, -7.474353e-01, 8.861760e-04, -7.032621e+01
-8.076944000000e-03, -6.790425e-01, 9.035520e-04, -6.069777e+01
-8.059568000000e-03, -5.239375e-01, 9.209280e-04, -7.159663e+01
-8.042192000000e-03, -3.590621e-01, 9.383040e-04, -5.772879e+01
-8.024816000000e-03, -1.685393e-01, 9.556800e-04, -6.576055e+01
-8.007440000000e-03, 2.320469e-02, 9.730560e-04, -5.144238e+01
-7.990064000000e-03, 2.125061e-01, 9.904320e-04, -5.805792e+01
-7.972688000000e-03, 4.201270e-01, 1.007808e-03, -5.040607e+01
-7.955312000000e-03, 5.556913e-01, 1.025184e-03, -5.676516e+01
-7.937936000000e-03, 6.985833e-01, 1.042560e-03, -4.679180e+01
-7.920560000000e-03, 7.767465e-01, 1.059936e-03, -5.638801e+01
-7.903184000000e-03, 8.414754e-01, 1.077312e-03, -4.056539e+01
-7.885808000000e-03, 8.781144e-01, 1.094688e-03, -4.927899e+01
-7.868432000000e-03, 8.805570e-01, 1.112064e-03, -3.391733e+01
-7.851056000000e-03, 8.365902e-01, 1.129440e-03, -4.144343e+01
-7.833680000000e-03, 7.327797e-01, 1.146816e-03, -2.463542e+01
-7.816304000000e-03, 6.326332e-01, 1.164192e-03, -2.951757e+01
-7.798928000000e-03, 4.567660e-01, 1.181568e-03, -8.958682e+00
-7.781552000000e-03, 2.882267e-01, 1.198944e-03, 1.684790e+00
-7.764176000000e-03, 8.060577e-02, 1.216320e-03, 6.915066e+00
-7.746800000000e-03, -9.770396e-02, 1.233696e-03, 8.838453e+00
-7.729424000000e-03, -3.065462e-01, 1.251072e-03, 7.911717e+00
-7.712048000000e-03, -4.799707e-01, 1.268448e-03, 3.928609e+00
-7.694672000000e-03, -6.118711e-01, 1.285824e-03, -4.351504e+00
-7.677296000000e-03, -7.523205e-01, 1.303200e-03, -2.645528e+01
-7.659920000000e-03, -8.085003e-01, 1.320576e-03, -2.268658e+01
-7.642544000000e-03, -8.414754e-01, 1.337952e-03, -3.887381e+01
-7.625168000000e-03, -8.219346e-01, 1.355328e-03, -3.260988e+01
-7.607792000000e-03, -8.402541e-01, 1.372704e-03, -4.712639e+01
-7.590416000000e-03, -7.474353e-01, 1.390080e-03, -3.940596e+01
-7.573040000000e-03, -6.411822e-01, 1.407456e-03, -5.089860e+01
-7.555664000000e-03, -4.995115e-01, 1.424832e-03, -4.637787e+01
-7.538288000000e-03, -3.175379e-01, 1.442208e-03, -6.163001e+01
-7.520912000000e-03, -1.294577e-01, 1.459584e-03, -4.828827e+01
-7.503536000000e-03, 7.449927e-02, 1.476960e-03, -5.734090e+01
-7.486160000000e-03, 2.467025e-01, 1.494336e-03, -5.371047e+01
-7.468784000000e-03, 4.604299e-01, 1.511712e-03, -5.650931e+01
-7.451408000000e-03, 5.959942e-01, 1.529088e-03, -5.144215e+01
-7.434032000000e-03, 7.046898e-01, 1.546464e-03, -5.532572e+01
-7.416656000000e-03, 8.011725e-01, 1.563840e-03, -5.759480e+01
-7.399280000000e-03, 8.720079e-01, 1.581216e-03, -5.800360e+01
-7.381904000000e-03, 8.891061e-01, 1.598592e-03, -5.613103e+01
-7.364528000000e-03, 8.585736e-01, 1.615968e-03, -5.587064e+01
-7.347152000000e-03, 8.451393e-01, 1.633344e-03, -5.534495e+01
-7.329776000000e-03, 7.132389e-01, 1.650720e-03, -5.994128e+01
-7.312400000000e-03, 5.984368e-01, 1.668096e-03, -6.527256e+01
-7.295024000000e-03, 4.201270e-01, 1.685472e-03, -6.956921e+01
-7.277648000000e-03, 2.430386e-01, 1.702848e-03, -7.671949e+01
-7.260272000000e-03, 3.786029e-02, 1.720224e-03, -6.885679e+01
