% Moku:Go Oscilloscope
% Channel A
% Channel B
% Time span 10.88 ms, time offset -555.9 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-03-20 T 17:01:03 +1100
% Time (s), Channel A (Input 1) (V), Freq (Hz), Math (Ch A FFT) (dBm)
-4.886784000000e-03, 8.622375e-01, 0.000000e+00, -1.944471e+01
-4.876032000000e-03, 8.878848e-01, 1.075200e-05, -2.087479e+01
-4.865280000000e-03, 8.512458e-01, 2.150400e-05, -2.550159e+01
-4.854528000000e-03, 8.255985e-01, 3.225600e-05, -3.498830e+01
-4.843776000000e-03, 8.146068e-01, 4.300800e-05, -6.832538e+01
-4.833024000000e-03, 7.840743e-01, 5.376000e-05, -5.213922e+01
-4.822272000000e-03, 6.778212e-01, 6.451200e-05, -6.041006e+01
-4.811520000000e-03, 5.886664e-01, 7.526400e-05, -5.406618e+01
-4.800768000000e-03, 5.349292e-01, 8.601600e-05, -5.006703e+01
-4.790016000000e-03, 4.201270e-01, 9.676800e-05, -4.543990e+01
-4.779264000000e-03, 2.845628e-01, 1.075200e-04, -4.275411e+01
-4.768512000000e-03, 1.697606e-01, 1.182720e-04, -4.227803e+01
-4.757760000000e-03, 8.549097e-02, 1.290240e-04, -4.391940e+01
-4.747008000000e-03, -6.717147e-02, 1.397760e-04, -4.730699e+01
-4.736256000000e-03, -2.137274e-01, 1.505280e-04, -5.153132e+01
-4.725504000000e-03, -2.955545e-01, 1.612800e-04, -5.625462e+01
-4.714752000000e-03, -3.981436e-01, 1.720320e-04, -6.427748e+01
-4.704000000000e-03, -5.251588e-01, 1.827840e-04, -7.366960e+01
-4.693248000000e-03, -6.314119e-01, 1.935360e-04, -5.318865e+01
-4.682496000000e-03, -6.656082e-01, 2.042880e-04, -4.538317e+01
-4.671744000000e-03, -7.205667e-01, 2.150400e-04, -4.286629e+01
-4.660992000000e-03, -7.816317e-01, 2.257920e-04, -4.338647e+01
-4.650240000000e-03, -8.121642e-01, 2.365440e-04, -4.547640e+01
-4.639488000000e-03, -8.292624e-01, 2.472960e-04, -4.932182e+01
-4.628736000000e-03, -8.597949e-01, 2.580480e-04, -6.139242e+01
-4.617984000000e-03, -8.732292e-01, 2.688000e-04, -6.048291e+01
-4.607232000000e-03, -7.999512e-01, 2.795520e-04, -7.098224e+01
-4.596480000000e-03, -7.755252e-01, 2.903040e-04, -5.776681e+01
-4.585728000000e-03, -7.657548e-01, 3.010560e-04, -6.468261e+01
-4.574976000000e-03, -6.912555e-01, 3.118080e-04, -5.141652e+01
-4.564224000000e-03, -5.837812e-01, 3.225600e-04, -6.132410e+01
-4.553472000000e-03, -4.982902e-01, 3.333120e-04, -5.104976e+01
-4.542720000000e-03, -4.323400e-01, 3.440640e-04, -6.569003e+01
-4.531968000000e-03, -2.894480e-01, 3.548160e-04, -4.548882e+01
-4.521216000000e-03, -1.538837e-01, 3.655680e-04, -8.025559e+01
-4.510464000000e-03, -6.350758e-02, 3.763200e-04, -3.950404e+01
-4.499712000000e-03, 4.274548e-02, 3.870720e-04, -5.822872e+01
-4.488960000000e-03, 1.966292e-01, 3.978240e-04, -3.317209e+01
